player,player_id,market_value,date_of_birth,age,height,nationality,position,team,signed_from,joined,contract_expires,league,season
Jonah Kusi-Asare,1069512,€4.00m,"Jul 4, 2007",18,1.96,Sweden,Centre-Forward,Fulham,,"Sep 1, 2025","Jun 30, 2026",GB1,25/26
Alex Cairns,194386,€75k,"Jan 4, 1993",33,1.83,England,Goalkeeper,Leeds,,"Jul 8, 2024","Jun 30, 2026",GB1,25/26
Willy Boly,142310,€500k,"Feb 3, 1991",35,1.95,Cote d'Ivoire,Centre-Back,Nott'm Forest,,"Sep 1, 2022","Jun 30, 2026",GB1,25/26
Rio Cardines,1047257,€300k,"Jul 1, 2006",19,1.75,Trinidad and Tobago,Left-Back,Crystal Palace,,"Jul 1, 2025","Jun 30, 2028",GB1,25/26
Jayden Bogle,465717,€12.00m,"Jul 27, 2000",25,1.78,England,Right-Back,Leeds,,"Jul 20, 2024","Jun 30, 2028",GB1,25/26
Tom Heaton,34130,€150k,"Apr 15, 1986",40,1.88,England,Goalkeeper,Man Utd,,"Jul 2, 2021","Jun 30, 2026",GB1,25/26
Marc Cucurella,284857,€50.00m,"Jul 22, 1998",27,1.73,Spain,Left-Back,Chelsea,,"Aug 5, 2022","Jun 30, 2028",GB1,25/26
Sam Johnstone,110864,€3.00m,"Mar 25, 1993",33,1.93,England,Goalkeeper,Wolves,,"Aug 30, 2024","Jun 30, 2028",GB1,25/26
Malo Gusto,620322,€35.00m,"May 19, 2003",22,1.78,France,Right-Back,Chelsea,,"Jan 29, 2023","Jun 30, 2030",GB1,25/26
Nathan Patterson,424015,€10.00m,"Oct 16, 2001",24,1.89,Scotland,Right-Back,Everton,,"Jan 4, 2022","Jun 30, 2027",GB1,25/26
Quilindschy Hartman,514285,€18.00m,"Nov 14, 2001",24,1.83,Netherlands,Left-Back,Burnley,,"Jul 1, 2025","Jun 30, 2029",GB1,25/26
Rayan Aït-Nouri,578391,€40.00m,"Jun 6, 2001",24,1.8,Algeria,Left-Back,Man City,,"Jun 9, 2025","Jun 30, 2030",GB1,25/26
Riccardo Calafiori,502821,€50.00m,"May 19, 2002",23,1.88,Italy,Left-Back,Arsenal,,"Jul 29, 2024","Jun 30, 2029",GB1,25/26
Wesley Fofana,475411,€28.00m,"Dec 17, 2000",25,1.88,France,Centre-Back,Chelsea,,"Aug 31, 2022","Jun 30, 2029",GB1,25/26
Ladislav Krejčí,345911,€22.00m,"Apr 20, 1999",27,1.91,Czech Republic,Centre-Back,Wolves,,"Aug 28, 2025","Jun 30, 2026",GB1,25/26
Piero Hincapié,659813,€50.00m,"Jan 9, 2002",24,1.84,Ecuador,Centre-Back,Arsenal,,"Sep 1, 2025","Jun 30, 2026",GB1,25/26
Lucas Perri,352041,€13.00m,"Dec 10, 1997",28,1.97,Brazil,Goalkeeper,Leeds,,"Jul 26, 2025","Jun 30, 2029",GB1,25/26
José Sá,249994,€5.00m,"Jan 17, 1993",33,1.92,Portugal,Goalkeeper,Wolves,,"Jul 15, 2021","Jun 30, 2027",GB1,25/26
David Raya,262749,€35.00m,"Sep 15, 1995",30,1.83,Spain,Goalkeeper,Arsenal,,"Jul 4, 2024","Jun 30, 2028",GB1,25/26
Eberechi Eze,479999,€60.00m,"Jun 29, 1998",27,1.78,England,Attacking Midfield,Arsenal,,"Aug 23, 2025","Jun 30, 2029",GB1,25/26
Jorrel Hato,904802,€35.00m,"Mar 7, 2006",20,1.82,Netherlands,Left-Back,Chelsea,,"Aug 3, 2025","Jun 30, 2032",GB1,25/26
Phil Foden,406635,€80.00m,"May 28, 2000",25,1.71,England,Attacking Midfield,Man City,,"Jul 1, 2017","Jun 30, 2027",GB1,25/26
João Gomes,735570,€35.00m,"Feb 12, 2001",25,1.76,Brazil,Central Midfield,Wolves,,"Jan 30, 2023","Jun 30, 2030",GB1,25/26
Randal Kolo Muani,487969,€22.00m,"Dec 5, 1998",27,1.87,France,Centre-Forward,Tottenham,,"Sep 1, 2025","Jun 30, 2026",GB1,25/26
Calvin Bassey,461883,€28.00m,"Dec 31, 1999",26,1.85,Nigeria,Centre-Back,Fulham,,"Jul 28, 2023","Jun 30, 2027",GB1,25/26
Anton Stach,344069,€25.00m,"Nov 15, 1998",27,1.94,Germany,Defensive Midfield,Leeds,,"Jul 22, 2025","Jun 30, 2029",GB1,25/26
Marcus Bettinelli,116648,€500k,"May 24, 1992",33,1.93,England,Goalkeeper,Man City,,"Jun 10, 2025","Jun 30, 2027",GB1,25/26
Lorenzo Lucca,572265,€25.00m,"Sep 10, 2000",25,2.01,Italy,Centre-Forward,Nott'm Forest,,"Jan 23, 2026","Jun 30, 2026",GB1,25/26
