player,team,goals,xG,assists,xA,shots,key_passes,xGChain,xGBuildup,league,season
Omar El Hilali,Espanyol,0,0.013671329244971275,2,1.6936176465824246,1,17,5.094719165936112,3.9731050971895456,La_liga,25/26
Pere Milla,Espanyol,7,7.654542326927185,1,4.100008985027671,59,34,11.191884029656649,3.3394176652655005,La_liga,25/26
Pol Lozano,Espanyol,2,0.7202332802116871,1,1.3134498577564955,17,22,7.324701470322907,6.574305829592049,La_liga,25/26
Ramón Terrats,Espanyol,1,1.189048240892589,2,2.365290615707636,15,16,4.1886972123757005,1.2467945348471403,La_liga,25/26
Roberto Fernández,Espanyol,7,9.296747288666666,3,3.1568277506157756,59,18,12.14238354191184,2.0526475217193365,La_liga,25/26
Rubén Sánchez,Espanyol,0,0.17505863774567842,1,1.105343360453844,8,10,4.239415235817432,3.1734081245958805,La_liga,25/26
Tyrhys Dolan,Espanyol,2,2.763452537357807,5,4.420420179143548,34,32,9.854958691634238,4.32685121987015,La_liga,25/26
Urko Gonzalez,Espanyol,0,0.6285140076652169,1,0.3392333183437586,18,10,5.933217795565724,5.271215932443738,La_liga,25/26
Ángel Fortuño,Espanyol,0,0.0,0,0.0,0,0,0.052320852875709534,0.052320852875709534,La_liga,25/26
Abdelkabir Abqar,Getafe,0,0.3874060558155179,2,0.7393411099910736,7,4,0.4710551081225276,0.3116732258349657,La_liga,25/26
Abu Kamara,Getafe,0,0.42044226825237274,0,0.09885786660015583,4,3,0.5959860552102327,0.07668591849505901,La_liga,25/26
Adrián Liso,Getafe,3,2.757198302075267,0,0.1507773920893669,26,4,3.0900558568537235,0.3200403545051813,La_liga,25/26
Alejandro Mestanza,Getafe,0,0.01869388110935688,0,0.0,1,0,0.06233642715960741,0.04364254605025053,La_liga,25/26
Alex Sancris,Getafe,0,0.3980247313156724,1,0.996218825224787,13,9,1.1331927608698606,0.6849178597331047,La_liga,25/26
Alex Sola,Getafe,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Borja Mayoral,Getafe,4,3.4905536491423845,1,0.560979638248682,15,5,2.6726806866936386,0.4403858962468803,La_liga,25/26
Christantus Uche,Getafe,1,1.4415657743811607,1,0.6371117904782295,6,4,2.1472005546092987,0.06852305494248867,La_liga,25/26
Coba da Costa,Getafe,0,0.2343458440154791,0,0.08499301550909877,5,3,0.6364300651475787,0.43546302150934935,La_liga,25/26
Damián Cáceres,Getafe,0,0.0,0,0.0,0,0,0.10201181471347809,0.10201181471347809,La_liga,25/26
David Soria,Getafe,0,0.0,0,0.046500302851200104,0,1,1.7877731248736382,1.7877731248736382,La_liga,25/26
Davinchi,Getafe,0,0.19618964567780495,0,0.059857865795493126,4,3,0.49781464226543903,0.30778488144278526,La_liga,25/26
Diego Rico,Getafe,0,0.2927396623417735,0,0.8772552907466888,11,10,1.4686552183702588,0.5435091145336628,La_liga,25/26
Djené Dakonam,Getafe,0,0.06865107547491789,0,0.22259433940052986,3,3,2.8946734238415956,2.7105430271476507,La_liga,25/26
Domingos Duarte,Getafe,1,0.8303996156901121,1,0.9081846736371517,13,2,1.415994401089847,1.2935767909511924,La_liga,25/26
Hugo Solozabal,Getafe,0,0.0,0,0.0,0,0,0.0,0.0,La_liga,25/26
Ismael Bekhoucha,Getafe,0,0.025432489812374115,1,0.721170961856842,1,1,1.1573026180267334,0.4361315965652466,La_liga,25/26
Javi Muñoz,Getafe,0,0.3324222560040653,0,0.2619094252586365,14,7,0.9011456496082246,0.4265056401491165,La_liga,25/26
Jorge Montes,Getafe,0,0.0,0,0.0,0,1,0.0,0.0,La_liga,25/26
Joselu Pérez,Getafe,0,0.014085882343351841,0,0.0,1,0,0.014085882343351841,0.0,La_liga,25/26
Juan Iglesias,Getafe,1,1.226545930840075,2,2.002802025526762,26,17,7.210621759295464,5.044199001044035,La_liga,25/26
Juanmi,Getafe,1,0.13904428482055664,0,0.05573514848947525,2,2,0.17780200019478798,0.05972769297659397,La_liga,25/26
Kiko Femenía,Getafe,1,0.9618913042359054,1,1.9188834317028522,8,17,3.8111339267343283,1.2898593991994858,La_liga,25/26
Luis Milla,Getafe,1,1.4706194661557674,10,6.843989523127675,27,78,7.731246910057962,4.7804497964680195,La_liga,25/26
Luis Vázquez,Getafe,3,2.6704405779019,1,0.16504967398941517,25,4,4.0771912625059485,1.7306871116161346,La_liga,25/26
Mario Martín,Getafe,2,2.9510428346693516,1,0.916083893738687,26,8,3.979537969455123,1.4174842182546854,La_liga,25/26
Martín Satriano,Getafe,6,4.711501374840736,1,2.4850312769412994,35,15,8.570994183421135,1.9049698896706104,La_liga,25/26
Mauro Arambarri,Getafe,6,8.078672235831618,2,0.9766136407852173,57,22,5.961405856534839,2.0200484236702323,La_liga,25/26
Nyom,Getafe,0,0.13120730221271515,1,1.1202348694205284,3,4,1.2234054617583752,0.013233568519353867,La_liga,25/26
