player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Bakery Jatta,Hamburger SV,1.47,90,0.1,0.08,0.39,1.08,0.29,0.0,9.09,0.0,0.69,0.1,0.06,0.39,21.86,17.84,81.61,1.08,57.89,0.1,5.26,1.86,5.2,0.0,0.29,33.33,0.88,42.65,0.98,10.49,0.29,0.49,2.16,0.2,1.47,0.98,0.88,0.1,2.94,0.39,0.1,0.0,2.25,38.33,0.59,28.57,0.88,5.1,1.27,0.1,0.0,0.0,0.0,0.0,,0.2,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Joe Scally,Borussia M'gladbach,1.1,90,0.07,0.04,0.34,0.55,0.07,0.07,12.5,0.0,0.38,0.1,0.06,0.62,31.44,25.23,80.26,0.97,35.0,0.28,16.67,1.65,5.38,0.0,0.83,44.44,1.86,54.08,0.86,11.41,0.21,1.76,3.9,0.1,1.65,0.93,0.59,0.07,2.69,0.14,0.03,0.07,4.24,53.48,1.03,44.78,0.65,4.96,1.14,0.28,0.0,0.0,0.0,0.0,,0.38,1.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Christian Conteh,1. FC Heidenheim,2.0,90,0.0,0.05,0.0,0.67,0.0,0.89,0.0,0.0,0.22,0.0,0.26,1.56,17.56,14.0,79.75,0.22,33.33,0.67,27.27,2.44,8.22,0.0,1.11,33.33,3.33,33.56,0.89,11.78,0.0,0.67,2.22,0.22,0.44,0.22,0.44,0.22,1.33,0.0,0.0,0.0,2.22,33.33,0.0,0.0,0.44,5.11,0.89,0.0,0.0,0.22,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Yannik Wagner,1. FC Heidenheim,8.0,90,0.0,0.04,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.02,4.0,20.0,14.0,70.0,0.0,0.0,4.0,100.0,4.0,8.0,0.0,0.0,0.0,0.0,34.0,0.0,8.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.63,Germany Bundesliga,per90,25/26
Ransford Yeboah Königsdörffer,Hamburger SV,1.26,90,0.19,0.29,0.84,2.48,0.42,0.0,7.69,0.04,2.02,0.0,0.06,0.76,16.32,11.52,70.56,0.27,43.75,0.11,14.29,0.8,4.92,0.04,0.57,37.5,1.53,30.7,0.95,10.07,0.38,1.22,2.02,1.07,0.23,0.19,0.23,0.57,1.3,0.0,0.0,0.04,2.02,40.46,1.75,39.66,0.19,5.64,0.95,0.08,0.0,0.0,0.0,0.0,,0.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,6.62,Germany Bundesliga,per90,25/26
Sirlord Conteh,1. FC Heidenheim,2.18,90,0.29,0.41,0.44,1.45,0.29,0.0,20.0,0.0,1.31,0.15,0.1,1.16,18.9,12.65,66.92,0.58,33.33,0.87,37.5,2.33,4.36,0.0,0.44,33.33,1.31,34.02,0.29,11.78,0.15,1.45,2.47,1.16,1.02,1.02,0.58,0.15,0.73,0.0,0.0,0.15,2.91,52.63,1.31,34.62,0.44,5.09,1.02,0.15,0.0,0.0,0.0,0.0,,0.0,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Yussuf Poulsen,Hamburger SV,3.95,90,0.26,0.2,0.79,1.84,0.0,0.26,14.29,0.0,1.32,0.0,0.09,0.53,29.21,17.11,58.56,0.26,25.0,0.0,0.0,0.53,7.89,0.0,0.79,75.0,1.05,47.37,1.32,19.21,0.79,0.79,3.16,0.53,1.05,0.53,0.53,0.53,2.89,0.26,0.0,0.0,2.37,32.14,10.0,60.32,0.26,11.58,3.42,1.05,0.0,0.0,0.0,0.0,,0.0,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Cenk Özkaçar,1. FC Köln,1.25,90,0.0,0.05,0.2,0.55,0.15,0.0,0.0,0.0,0.55,0.0,0.02,0.25,54.37,47.17,86.76,1.75,33.65,0.0,0.0,0.15,6.35,0.0,0.3,54.55,0.55,69.51,0.4,8.9,0.0,0.3,2.85,0.05,1.65,1.2,1.2,0.0,5.85,0.7,0.1,0.0,2.25,52.94,3.1,60.19,0.8,4.05,0.55,0.1,0.0,0.0,0.0,0.0,,0.05,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Leonidas Stergiou,1. FC Heidenheim,2.65,90,0.0,0.04,0.0,0.44,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,33.53,26.03,77.63,3.09,58.33,0.0,0.0,0.44,3.53,0.0,0.44,100.0,0.44,54.71,0.44,10.15,0.0,0.44,3.53,0.0,3.53,1.76,0.88,0.0,5.29,1.76,0.0,0.0,4.41,50.0,2.21,71.43,2.65,5.29,1.32,0.0,0.0,0.0,0.0,0.0,,0.0,3.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Stefan Schimmer,1. FC Heidenheim,2.99,90,0.55,0.6,1.22,3.44,1.22,0.22,16.13,0.0,3.1,0.11,0.07,1.33,17.29,11.08,64.1,0.67,75.0,0.33,30.0,1.11,4.54,0.0,0.11,50.0,0.22,32.48,1.0,10.2,0.89,0.55,2.44,0.44,1.22,0.44,0.33,1.0,2.0,0.0,0.0,0.0,1.88,40.48,3.33,44.12,0.33,6.98,1.44,0.11,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Abdoulie Ceesay,FC St. Pauli,5.1,90,0.76,0.32,1.02,2.8,0.76,0.25,27.27,0.25,2.29,0.0,0.07,0.76,18.61,12.49,67.12,0.0,0.0,0.25,33.33,0.76,5.1,0.0,1.53,75.0,2.04,39.26,2.04,14.02,0.51,1.53,1.78,0.51,0.76,0.51,0.0,0.51,0.51,0.0,0.0,0.0,3.82,36.59,3.82,37.5,0.51,13.0,3.57,1.02,0.0,0.0,0.25,0.0,,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Yannik Keitel,FC Augsburg,2.19,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,32.43,26.23,80.9,1.82,45.45,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,45.55,0.36,7.65,0.0,0.73,0.73,0.0,2.19,1.46,0.73,0.0,4.74,1.46,0.0,0.0,2.55,46.67,2.91,72.73,1.46,4.01,1.09,0.73,0.0,0.0,0.0,0.0,,0.0,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Kauã Santos,Eintracht Frankfurt,1.08,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.42,22.31,63.0,5.31,29.09,0.0,0.0,0.0,0.75,0.0,0.08,100.0,0.08,46.95,0.0,13.27,0.0,0.25,8.96,0.0,0.08,0.0,0.0,0.0,1.66,0.0,0.25,0.08,0.41,100.0,0.75,90.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,3.07,-0.71,0.08,2.65,0.0,0.08,0.83,0.5,0.5,0.5,2.16,0.91,0.08,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Jan Schöppner,1. FC Heidenheim,1.23,90,0.12,0.09,0.28,1.0,0.08,0.2,12.0,0.08,0.6,0.12,0.05,0.56,27.76,18.88,68.01,0.92,31.08,0.12,21.43,0.56,5.22,0.0,0.44,34.38,1.27,44.28,0.8,12.62,0.24,0.68,3.86,0.12,1.27,0.64,1.35,0.4,3.9,0.44,0.04,0.08,2.35,39.6,1.91,48.98,1.23,5.58,0.8,0.2,0.0,0.04,0.0,0.0,,0.04,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Moritz Jenz,VfL Wolfsburg,1.11,90,0.05,0.03,0.05,0.25,0.0,0.0,20.0,0.05,0.25,0.0,0.01,0.1,51.36,45.73,89.03,1.31,35.62,0.05,100.0,0.05,2.72,0.0,0.0,0.0,0.0,63.89,0.05,6.19,0.05,0.35,2.82,0.0,1.61,1.11,0.6,0.15,6.44,1.01,0.0,0.1,1.96,52.7,3.17,67.74,0.3,3.27,1.56,0.3,0.05,0.05,0.0,0.0,,0.0,2.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62,Germany Bundesliga,per90,25/26
Salim Musah,SV Werder Bremen,3.43,90,0.43,0.37,1.71,3.0,0.43,0.0,14.29,0.0,2.57,0.0,0.15,1.29,24.0,18.0,75.0,0.43,33.33,0.0,0.0,0.86,6.43,0.0,0.43,50.0,0.86,41.14,1.29,12.43,0.43,1.29,1.71,0.43,1.29,0.43,0.86,0.86,0.43,0.0,0.0,0.0,3.0,46.67,0.86,25.0,0.0,6.0,1.71,0.0,0.0,0.0,0.0,0.0,,0.0,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,Germany Bundesliga,per90,25/26
Rav van den Berg,1. FC Köln,1.11,90,0.0,,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.01,0.08,55.83,52.12,93.34,0.63,32.0,0.08,100.0,0.08,2.06,0.0,0.0,0.0,0.08,68.09,0.08,4.27,0.08,0.24,2.85,0.08,1.11,0.63,1.11,0.0,5.62,0.95,0.0,0.08,1.34,54.84,2.06,53.06,0.32,2.93,0.79,0.0,0.08,0.0,0.0,0.0,,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.61,Germany Bundesliga,per90,25/26
