player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Raúl García de Haro,Osasuna,3.11,90,0.6,0.56,1.99,3.37,0.52,0.09,17.95,0.09,3.02,0.09,0.11,1.04,20.21,13.56,67.09,0.6,87.5,0.35,44.44,0.78,3.97,0.0,1.3,48.39,2.68,38.69,1.55,12.87,0.69,1.3,2.42,0.6,1.3,1.12,0.6,0.52,1.38,0.17,0.0,0.0,3.89,47.87,3.45,52.63,0.26,7.34,1.04,0.17,0.09,0.0,0.0,0.0,,0.09,1.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Yoel Lago,Celta Vigo,1.14,90,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.01,0.19,51.32,47.04,91.67,1.52,44.44,0.0,0.0,0.0,2.0,0.0,0.19,100.0,0.19,64.91,0.1,4.66,0.1,1.24,2.66,0.1,1.81,0.95,0.67,0.0,6.46,0.95,0.0,0.38,3.23,60.71,0.95,52.63,0.38,2.95,1.62,0.38,0.0,0.19,0.0,0.0,,0.19,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Thomas Lemar,Girona FC,1.91,90,0.21,0.14,0.57,1.2,0.07,0.07,17.65,0.0,0.35,0.07,0.11,1.41,46.52,41.01,88.15,1.63,74.19,1.2,30.36,3.96,16.61,0.07,1.41,57.14,2.47,66.17,2.33,14.28,0.71,1.41,4.03,0.0,1.91,1.13,0.35,0.42,0.14,0.14,0.0,0.0,4.74,44.97,0.14,50.0,1.13,5.94,1.34,0.28,0.0,0.0,0.0,0.0,,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Sergi Cardona,Villarreal,1.42,90,0.05,0.05,0.23,0.82,0.0,0.18,5.56,0.0,0.69,0.18,0.12,0.96,33.78,27.56,81.6,0.96,36.84,0.91,24.39,3.75,7.27,0.05,0.18,28.57,0.64,60.43,0.37,12.57,0.27,1.05,3.34,0.05,2.15,1.42,1.65,0.09,2.65,0.41,0.05,0.09,3.29,49.66,0.91,51.28,1.28,4.21,1.28,0.18,0.0,0.0,0.0,0.0,,0.27,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Aitor Paredes,Athletic Club,1.05,90,0.11,0.06,0.22,0.72,0.06,0.06,15.38,0.11,0.55,0.0,0.03,0.22,52.1,45.64,87.59,3.31,49.59,0.0,0.0,0.06,4.25,0.0,0.17,100.0,0.17,63.15,0.06,7.13,0.0,0.39,3.81,0.0,1.16,0.66,1.55,0.11,4.2,0.22,0.0,0.11,1.71,55.36,1.66,62.5,0.28,2.38,1.05,0.22,0.0,0.0,0.0,0.0,,0.17,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Angel Ortiz,Real Betis,2.01,90,0.0,0.01,0.0,0.15,0.0,0.15,0.0,0.0,0.0,0.0,0.13,0.93,38.66,32.16,83.2,1.39,34.62,0.77,26.32,2.94,6.34,0.0,1.08,41.18,2.63,66.03,0.77,13.92,0.0,1.39,4.48,0.0,4.18,2.78,0.46,0.15,2.47,0.62,0.0,0.0,6.65,58.11,0.15,14.29,1.24,5.72,1.39,0.15,0.0,0.0,0.0,0.0,,0.0,1.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.74,Spain La Liga,per90,25/26
Gabriel Suazo,Sevilla,1.25,90,0.0,0.02,0.09,0.21,0.0,0.21,0.0,0.0,0.21,0.04,0.18,1.55,44.06,36.71,83.33,1.8,48.28,1.25,30.21,4.12,10.35,0.0,0.64,57.69,1.12,70.12,0.73,15.07,0.34,0.64,4.77,0.09,3.69,2.75,1.29,0.04,2.02,0.21,0.04,0.09,4.94,57.21,0.56,37.14,1.2,4.64,1.42,0.3,0.0,0.04,0.0,0.0,,0.17,1.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,Spain La Liga,per90,25/26
Iván Balliu,Rayo Vallecano,2.12,90,0.0,0.05,0.0,0.45,0.15,0.0,0.0,0.0,0.15,0.0,0.04,0.45,40.15,33.03,82.26,1.82,37.5,0.15,11.11,1.36,9.24,0.0,1.06,70.0,1.52,61.21,0.15,10.91,0.0,0.76,4.24,0.0,2.27,1.52,1.36,0.0,0.91,0.45,0.0,0.0,4.09,64.29,0.61,30.77,0.3,3.64,1.36,0.3,0.0,0.0,0.0,0.0,,0.15,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,Spain La Liga,per90,25/26
Pau Navarro,Villarreal,1.08,90,0.0,0.0,0.09,0.09,0.0,0.05,0.0,0.0,0.05,0.0,0.01,0.19,45.51,40.23,88.39,1.59,40.0,0.05,50.0,0.09,2.95,0.0,0.33,63.64,0.51,62.45,0.14,6.46,0.0,0.51,2.76,0.05,3.04,1.64,0.84,0.0,5.05,0.75,0.05,0.0,3.88,53.55,1.22,48.15,1.5,4.68,1.59,0.19,0.0,0.0,0.0,0.0,,0.14,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,Spain La Liga,per90,25/26
Héctor Bellerín,Real Betis,1.32,90,0.1,0.02,0.24,0.34,0.0,0.24,28.57,0.0,0.29,0.15,0.14,1.17,50.28,44.36,88.23,1.08,43.14,0.29,20.69,1.42,10.08,0.0,0.34,53.85,0.64,70.73,0.39,9.49,0.15,0.2,2.89,0.1,1.52,0.78,0.68,0.1,3.42,0.2,0.05,0.0,2.05,46.67,0.83,58.62,0.93,2.93,0.73,0.1,0.0,0.0,0.0,0.0,,0.15,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.73,Spain La Liga,per90,25/26
