player_name,team_name,appearances,minutesPlayed,goals,expectedGoals,shotsOnTarget,totalShots,bigChancesMissed,bigChancesCreated,goalConversionPercentage,headedGoals,shotsFromInsideTheBox,assists,expectedAssists,keyPasses,totalPasses,accuratePasses,accuratePassesPercentage,accurateLongBalls,accurateLongBallsPercentage,accurateCrosses,accurateCrossesPercentage,totalCross,accurateFinalThirdPasses,passToAssist,successfulDribbles,successfulDribblesPercentage,totalContest,touches,dispossessed,possessionLost,possessionWonAttThird,wasFouled,ballRecovery,offsides,tackles,tacklesWon,interceptions,blockedShots,clearances,outfielderBlocks,errorLeadToGoal,errorLeadToShot,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,dribbledPast,duelLost,fouls,yellowCards,redCards,penaltyConceded,penaltyWon,saves,goalsPrevented,cleanSheet,goalsConceded,penaltySave,penaltyFaced,highClaims,runsOut,successfulRunsOut,punches,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,crossesNotClaimed,penaltiesTaken,penaltyGoals,rating,league,accumulation,season
Mohammed Salisu,AS Monaco,1.0,90,0.08,0.06,0.17,0.67,0.08,0.0,12.5,0.08,0.58,0.0,0.02,0.17,68.0,59.5,87.5,2.08,36.23,0.0,0.0,0.0,4.25,0.0,0.17,100.0,0.17,84.08,0.17,9.25,0.17,0.25,4.33,0.33,2.08,0.83,1.42,0.17,7.0,1.75,0.0,0.17,2.5,49.18,3.17,66.67,1.0,4.17,1.42,0.25,0.0,0.0,0.0,0.0,,0.17,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.03,France Ligue 1,per90,25/26
Donovan Léon,Auxerre,1.06,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,28.23,14.43,51.1,7.09,33.98,0.0,0.0,0.0,1.31,0.0,0.04,100.0,0.04,37.66,0.0,13.99,0.0,0.26,8.29,0.0,0.11,0.07,0.04,0.0,0.77,0.0,0.07,0.11,0.37,76.92,0.26,87.5,0.0,0.15,0.11,0.04,0.07,0.04,0.0,3.51,0.16,0.29,1.28,0.04,0.11,0.4,0.77,0.62,0.37,2.34,1.17,0.0,0.0,0.0,7.03,France Ligue 1,per90,25/26
Mory Diaw,Le Havre,1.02,90,0.0,,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.1,33.02,23.83,72.18,6.2,41.4,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,43.69,0.0,9.56,0.0,0.2,9.42,0.0,0.07,0.0,0.07,0.0,0.85,0.0,0.03,0.1,0.24,87.5,0.17,100.0,0.03,0.03,0.0,0.03,0.0,0.0,0.0,2.78,-0.05,0.24,1.39,0.07,0.27,1.29,0.44,0.44,0.2,1.8,0.98,0.03,0.0,0.0,7.02,France Ligue 1,per90,25/26
Kang-in Lee,Paris Saint-Germain,1.6,90,0.18,0.16,0.89,2.19,0.06,0.71,8.11,0.0,1.06,0.24,0.33,3.55,61.73,56.24,91.09,3.37,64.04,2.66,39.82,6.68,24.84,0.12,1.66,54.9,3.02,82.73,1.24,14.31,0.59,1.12,3.73,0.18,1.01,0.53,0.18,0.59,0.41,0.06,0.12,0.18,3.73,47.01,0.41,50.0,0.59,4.61,1.06,0.18,0.0,0.06,0.0,0.0,,0.06,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,France Ligue 1,per90,25/26
Kévin Danois,Auxerre,1.05,90,0.1,0.06,0.25,0.79,0.06,0.32,12.0,0.0,0.29,0.03,0.15,1.68,48.1,41.05,85.35,2.86,68.18,1.4,34.11,4.1,11.9,0.03,1.11,58.33,1.9,66.48,1.4,14.0,0.54,0.83,5.9,0.1,2.48,1.49,1.21,0.19,0.48,0.06,0.0,0.03,4.38,49.11,0.48,34.88,1.4,5.43,1.05,0.1,0.0,0.0,0.0,0.0,,0.29,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.02,France Ligue 1,per90,25/26
Matías Fernández-Pardo,Lille,1.1,90,0.3,0.33,1.13,2.57,0.57,0.19,11.76,0.0,2.08,0.19,0.18,1.36,23.49,19.22,81.8,0.64,85.0,0.45,21.82,2.08,10.59,0.0,1.36,43.9,3.1,40.03,1.25,11.08,0.64,1.51,1.97,0.61,0.76,0.49,0.26,0.98,0.11,0.04,0.0,0.0,3.63,46.6,0.15,12.12,0.79,5.26,0.57,0.19,0.0,0.0,0.04,0.0,,0.23,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.08,7.01,France Ligue 1,per90,25/26
Gautier Lloris,Le Havre,1.09,90,0.04,0.03,0.15,0.41,0.11,0.04,9.09,0.04,0.41,0.04,0.02,0.15,57.3,52.35,91.36,2.55,48.57,0.0,0.0,0.08,3.34,0.0,0.04,33.33,0.11,70.69,0.15,5.7,0.04,0.64,2.7,0.08,1.54,0.86,1.58,0.08,5.63,0.79,0.0,0.0,2.21,62.11,2.59,72.63,0.3,2.32,1.01,0.08,0.04,0.04,0.04,0.0,,0.19,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,France Ligue 1,per90,25/26
Arthur Avom Ebong,Lorient,1.32,90,0.09,0.05,0.26,0.89,0.0,0.17,9.52,0.0,0.26,0.04,0.14,1.32,54.09,45.4,83.95,3.36,59.85,0.64,33.33,1.91,11.62,0.0,0.89,53.85,1.66,70.85,0.94,14.04,0.55,1.66,5.4,0.0,2.34,1.32,1.28,0.26,1.06,0.13,0.0,0.09,4.77,55.17,0.38,37.5,1.23,4.51,0.98,0.13,0.0,0.04,0.04,0.0,,0.17,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,France Ligue 1,per90,25/26
Rassoul Ndiaye,Le Havre,1.15,90,0.14,0.11,0.31,1.19,0.1,0.17,11.76,0.03,0.56,0.14,0.09,1.01,30.19,25.32,83.89,1.19,65.38,0.66,20.88,3.18,8.39,0.0,0.77,55.0,1.4,46.17,0.59,9.9,0.45,1.29,4.97,0.21,2.38,1.12,0.56,0.42,0.7,0.07,0.0,0.0,4.41,57.27,0.56,38.1,1.33,4.2,0.77,0.07,0.0,0.0,0.0,0.0,,0.14,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01,France Ligue 1,per90,25/26
Dominik Greif,Olympique Lyonnais,1.0,90,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.07,32.38,25.45,78.59,4.62,40.36,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,41.41,0.0,7.1,0.0,0.17,7.0,0.0,0.07,0.03,0.0,0.0,1.21,0.0,0.0,0.14,0.24,100.0,0.21,85.71,0.0,0.03,0.0,0.03,0.0,0.0,0.0,2.76,-0.02,0.38,1.28,0.1,0.17,0.59,0.93,0.93,0.41,1.93,0.76,0.0,0.0,0.0,7.0,France Ligue 1,per90,25/26
